Projectile,tau_PS_inj,tau_PS_extr,tau_PS_avg
He1,3.9255403829364255,5.425835622354535,4.67568800264548
He2,657106313428.449,5.366573965417028e+19,2.6832870155638297e+19
O4,3.2634459178406496,4.5732168057510805,3.918331361795865
O5,2.8061803705534696,3.7580984765041614,3.2821394235288155
O6,22.520900575648987,25.104539473530302,23.812720024589645
Mg7,5.4570568779891655,7.735941497801657,6.596499187895411
Mg8,8.820767617054265,11.519102869473725,10.169935243263996
Ar9,5.166704396270576,6.914520879445916,6.040612637858246
Ar10,6.882475644281072,8.96537670160701,7.923926172944041
Ar11,9.096997041903748,11.919701400150286,10.508349221027018
Ca12,8.951458060007624,11.91060048774897,10.431029273878298
Ca13,12.29940584206078,15.594930279995731,13.947168061028256
Ca14,16.70412271849427,20.290862967699468,18.497492843096868
Ca15,22.73522389808001,26.558651304576156,24.646937601328084
Ca16,31.802722297468605,35.79733351502586,33.80002790624724
Ca17,25.443653133756325,26.043120640182476,25.7433868869694
Ca18,151.0064562899257,133.55552579261598,142.28099104127085
Ca19,0.0,0.0,0.0
Ca20,169288675.95571488,1.3763753982567568e+16,6881877075928122.0
Kr19,7.708782586531303,10.707267707974992,9.208025147253148
Kr20,9.037215138893005,12.333875257327103,10.685545198110054
Kr21,10.636387246538561,14.322702088757627,12.479544667648094
Kr22,12.399600950249297,16.576121343672543,14.48786114696092
Kr23,14.259339941449158,19.088739414378473,16.674039677913814
Kr24,13.202970674966833,16.882219270928157,15.042594972947494
Kr25,14.885370148178627,19.575870435265166,17.2306202917219
Kr26,34.13123133789925,41.430546354572755,37.780888846236
Kr27,41.78039191171102,49.61793425907139,45.699163085391206
Kr28,51.322332036986744,59.672926629160074,55.497629333073405
Kr29,62.98023216184312,71.77060604374466,67.3754191027939
Kr30,78.31821671601101,87.45643720591718,82.88732696096409
Kr31,96.49544465312655,105.7694798272693,101.13246224019792
Kr32,120.37741659031687,129.49762123012147,124.93751891021917
Kr33,91.99094281237211,88.24503280888548,90.11798781062879
Kr34,549.3141920189082,413.0511155344158,481.18265377666205
In32,21.22875415301571,28.007159482474727,24.617956817745217
In33,23.14205523925784,31.716378823796497,27.429217031527166
In34,26.82415823045711,36.086140148333655,31.45514918939538
In35,31.226878232461907,41.25088185697732,36.238880044719615
In36,35.740828799733926,46.447257933820495,41.094043366777214
In37,42.52660166770961,54.25603712831042,48.39131939801001
In38,38.931838025701516,45.62927795611427,42.280557990907894
In39,90.1944213313671,97.31112220061996,93.75277176599353
In40,106.04179272723798,112.81430776620498,109.42805024672148
In41,124.9993296594852,131.15493118078913,128.07713042013717
In42,147.20776970675482,152.4227031387129,149.81523642273385
Xe34,20.005648231882148,25.701166829913344,22.853407530897748
Xe35,22.35571749835137,28.857203383357394,25.606460440854384
Xe36,25.87587958950493,33.79426991333517,29.835074751420052
Xe37,27.97237847305893,37.88505343585725,32.92871595445809
Xe38,31.951306287591255,42.5785272427455,37.26491676516838
Xe39,36.45973713023833,47.83414812183918,42.14694262603875
Xe40,42.45911555038624,54.78632298035267,48.622719265369454
Xe41,48.54989791126735,61.7285777213454,55.13923781630638
Xe42,56.653450648910464,70.90750514748511,63.78047789819779
Xe43,51.850315975541825,59.47443631594599,55.662376145743906
Xe44,120.56801591448621,126.60596521511194,123.58699056479907
Pb48,18.640827880532527,25.549307639524223,22.095067760028375
Pb49,20.220492235712335,27.544197203088377,23.882344719400358
Pb50,22.693344155487605,30.64716976938822,26.67025696243791
Pb51,24.6208826343194,33.10253449935549,28.861708566837446
Pb52,27.24866035358509,36.43945683300255,31.844058593293823
Pb53,26.1504297486081,32.69439517052901,29.422412459568555
Pb54,39.41358668550974,47.22709631621963,43.320341500864686
Pb55,42.953224194452204,51.51976414807233,47.236494171262265
Pb56,46.76603329372694,56.260178476560974,51.51310588514396
Pb57,50.844139051580804,61.525618709536225,56.184878880558514
Pb58,54.94248773653785,67.25422124453405,61.098354490535954
